instanceType,vCpus,vCpuCores,memorySizeInGiB,gpuCount,gpuTotalGpuMemoryInGiB,onDemandLinuxHr,spotLinuxHr,vCpuThreadsPerCore,storageTotalSizeInGB,storage,networkPerformance,gpuName,processorClockSpeedInGhz,instanceFamilyName
c7g.metal,64.0,64.0,128.0,0,0.0,2.32,0.3346,1.0,0.0,"EBS only","30 Gigabit","",2.6,"Compute optimized"
c7g.xlarge,4.0,4.0,8.0,0,0.0,0.145,0.0513,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.6,"Compute optimized"
c7gd.12xlarge,48.0,48.0,96.0,0,0.0,2.1773,0.5577,1.0,2850.0,"2 x 1425 NVMe SSD","22.5 Gigabit","",2.6,"Compute optimized"
c7gd.16xlarge,64.0,64.0,128.0,0,0.0,2.903,0.2903,1.0,3800.0,"2 x 1900 NVMe SSD","30 Gigabit","",2.6,"Compute optimized"
c7gd.2xlarge,8.0,8.0,16.0,0,0.0,0.3629,0.1335,1.0,474.0,"1 x 475 NVMe SSD","Up to 15 Gigabit","",2.6,"Compute optimized"
c7gd.4xlarge,16.0,16.0,32.0,0,0.0,0.7258,0.24,1.0,950.0,"1 x 950 NVMe SSD","Up to 15 Gigabit","",2.6,"Compute optimized"
c7gd.8xlarge,32.0,32.0,64.0,0,0.0,1.4515,0.3899,1.0,1900.0,"1 x 1900 NVMe SSD","15 Gigabit","",2.6,"Compute optimized"
c7gd.large,2.0,2.0,4.0,0,0.0,0.0907,0.0269,1.0,118.0,"1 x 118 NVMe SSD","Up to 12.5 Gigabit","",2.6,"Compute optimized"
c7gd.medium,1.0,1.0,2.0,0,0.0,0.0454,0.0047,1.0,59.0,"1 x 59 NVMe SSD","Up to 12.5 Gigabit","",2.6,"Compute optimized"
c7gd.metal,64.0,64.0,128.0,0,0.0,2.903,0.2903,1.0,3800.0,"2 x 1900 NVMe SSD","30 Gigabit","",2.6,"Compute optimized"
c7gd.xlarge,4.0,4.0,8.0,0,0.0,0.1814,0.0702,1.0,237.0,"1 x 237 NVMe SSD","Up to 12.5 Gigabit","",2.6,"Compute optimized"
c7gn.12xlarge,48.0,48.0,96.0,0,0.0,2.9952,0.3029,1.0,0.0,"EBS only","150 Gigabit","",2.6,"Compute optimized"
c7gn.16xlarge,64.0,64.0,128.0,0,0.0,3.9936,0.3994,1.0,0.0,"EBS only","200 Gigabit","",2.6,"Compute optimized"
c7gn.2xlarge,8.0,8.0,16.0,0,0.0,0.4992,0.0583,1.0,0.0,"EBS only","Up to 50 Gigabit","",2.6,"Compute optimized"
c7gn.4xlarge,16.0,16.0,32.0,0,0.0,0.9984,0.2172,1.0,0.0,"EBS only","50 Gigabit","",2.6,"Compute optimized"
c7gn.8xlarge,32.0,32.0,64.0,0,0.0,1.9968,0.3002,1.0,0.0,"EBS only","100 Gigabit","",2.6,"Compute optimized"
c7gn.large,2.0,2.0,4.0,0,0.0,0.1248,0.0174,1.0,0.0,"EBS only","Up to 30 Gigabit","",2.6,"Compute optimized"
c7gn.medium,1.0,1.0,2.0,0,0.0,0.0624,0.0062,1.0,0.0,"EBS only","Up to 25 Gigabit","",2.6,"Compute optimized"
c7gn.metal,64.0,64.0,128.0,0,0.0,3.9936,0.3994,1.0,0.0,"EBS only","200 Gigabit","",2.6,"Compute optimized"
c7gn.xlarge,4.0,4.0,8.0,0,0.0,0.2496,0.0504,1.0,0.0,"EBS only","Up to 40 Gigabit","",2.6,"Compute optimized"
c7i-flex.12xlarge,48.0,24.0,96.0,0,0.0,2.0349,0.2035,2.0,0.0,"EBS only","Up to 18.75 Gigabit","",3.2,"Compute optimized"
c7i-flex.16xlarge,64.0,32.0,128.0,0,0.0,2.7132,0.2746,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.2,"Compute optimized"
c7i-flex.2xlarge,8.0,4.0,16.0,0,0.0,0.3392,0.1572,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c7i-flex.4xlarge,16.0,8.0,32.0,0,0.0,0.6783,0.1991,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c7i-flex.8xlarge,32.0,16.0,64.0,0,0.0,1.3566,0.3571,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c7i-flex.large,2.0,1.0,4.0,0,0.0,0.0848,0.0254,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c7i-flex.xlarge,4.0,2.0,8.0,0,0.0,0.1696,0.0521,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c7i.12xlarge,48.0,24.0,96.0,0,0.0,2.142,0.6371,2.0,0.0,"EBS only","18.75 Gigabit","",3.2,"Compute optimized"
c7i.16xlarge,64.0,32.0,128.0,0,0.0,2.856,0.8514,2.0,0.0,"EBS only","25 Gigabit","",3.2,"Compute optimized"
c7i.24xlarge,96.0,48.0,192.0,0,0.0,4.284,1.0285,2.0,0.0,"EBS only","37.5 Gigabit","",3.2,"Compute optimized"
c7i.2xlarge,8.0,4.0,16.0,0,0.0,0.357,0.1273,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c7i.48xlarge,192.0,96.0,384.0,0,0.0,8.568,2.2466,2.0,0.0,"EBS only","50 Gigabit","",3.2,"Compute optimized"
c7i.4xlarge,16.0,8.0,32.0,0,0.0,0.714,0.258,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c7i.8xlarge,32.0,16.0,64.0,0,0.0,1.428,0.5421,2.0,0.0,"EBS only","12.5 Gigabit","",3.2,"Compute optimized"
c7i.large,2.0,1.0,4.0,0,0.0,0.0892,0.028,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c7i.metal-24xl,96.0,48.0,192.0,0,0.0,4.284,0.4284,2.0,0.0,"EBS only","37.5 Gigabit","",3.2,"Compute optimized"
c7i.metal-48xl,192.0,96.0,384.0,0,0.0,8.568,0.8568,2.0,0.0,"EBS only","50 Gigabit","",3.2,"Compute optimized"
c7i.xlarge,4.0,2.0,8.0,0,0.0,0.1785,0.0647,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"Compute optimized"
c8g.12xlarge,48.0,48.0,96.0,0,0.0,1.9142,0.4732,1.0,0.0,"EBS only","22.5 Gigabit","",2.8,"Compute optimized"
c8g.16xlarge,64.0,64.0,128.0,0,0.0,2.5523,0.3361,1.0,0.0,"EBS only","30 Gigabit","",2.8,"Compute optimized"
c8g.24xlarge,96.0,96.0,192.0,0,0.0,3.8285,0.4054,1.0,0.0,"EBS only","40 Gigabit","",2.8,"Compute optimized"
c8g.2xlarge,8.0,8.0,16.0,0,0.0,0.319,0.0835,1.0,0.0,"EBS only","Up to 15 Gigabit","",2.8,"Compute optimized"
c8g.48xlarge,192.0,192.0,384.0,0,0.0,7.657,1.6738,1.0,0.0,"EBS only","50 Gigabit","",2.7,"Compute optimized"
c8g.4xlarge,16.0,16.0,32.0,0,0.0,0.6381,0.1893,1.0,0.0,"EBS only","Up to 15 Gigabit","",2.8,"Compute optimized"
c8g.8xlarge,32.0,32.0,64.0,0,0.0,1.2762,0.3532,1.0,0.0,"EBS only","15 Gigabit","",2.8,"Compute optimized"
c8g.large,2.0,2.0,4.0,0,0.0,0.0798,0.0226,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.8,"Compute optimized"
c8g.medium,1.0,1.0,2.0,0,0.0,0.0399,0.004,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.8,"Compute optimized"
c8g.metal-24xl,96.0,96.0,192.0,0,0.0,3.8285,0.3828,1.0,0.0,"EBS only","40 Gigabit","",2.8,"Compute optimized"
c8g.metal-48xl,192.0,192.0,384.0,0,0.0,7.657,0.7667,1.0,0.0,"EBS only","50 Gigabit","",2.7,"Compute optimized"
c8g.xlarge,4.0,4.0,8.0,0,0.0,0.1595,0.0435,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.8,"Compute optimized"
d2.2xlarge,8.0,4.0,61.0,0,0.0,1.38,0.138,2.0,12288.0,"6 x 2000 HDD",High,"",2.4,"Storage optimized"
d2.4xlarge,16.0,8.0,122.0,0,0.0,2.76,0.2814,2.0,24576.0,"12 x 2000 HDD",High,"",2.4,"Storage optimized"
d2.8xlarge,36.0,18.0,244.0,0,0.0,5.52,0.5546,2.0,49152.0,"24 x 2000 HDD","10 Gigabit","",2.4,"Storage optimized"
d2.xlarge,4.0,2.0,30.5,0,0.0,0.69,0.069,2.0,6144.0,"3 x 2000 HDD",Moderate,"",2.4,"Storage optimized"
d3.2xlarge,8.0,4.0,64.0,0,0.0,0.999,0.3334,2.0,11880.0,"6 x 2000 HDD","Up to 15 Gigabit","",3.1,"Storage optimized"
d3.4xlarge,16.0,8.0,128.0,0,0.0,1.998,0.673,2.0,23760.0,"12 x 2000 HDD","Up to 15 Gigabit","",3.1,"Storage optimized"
d3.8xlarge,32.0,16.0,256.0,0,0.0,3.9955,1.2469,2.0,47520.0,"24 x 2000 HDD","25 Gigabit","",3.1,"Storage optimized"
d3.xlarge,4.0,2.0,32.0,0,0.0,0.499,0.1009,2.0,5940.0,"3 x 2000 HDD","Up to 15 Gigabit","",3.1,"Storage optimized"
d3en.12xlarge,48.0,24.0,192.0,0,0.0,6.3086,0.6309,2.0,335520.0,"24 x 14000 HDD","75 Gigabit","",3.1,"Storage optimized"
d3en.2xlarge,8.0,4.0,32.0,0,0.0,1.051,0.2811,2.0,55920.0,"4 x 14000 HDD","Up to 25 Gigabit","",3.1,"Storage optimized"
d3en.4xlarge,16.0,8.0,64.0,0,0.0,2.103,0.5991,2.0,111840.0,"8 x 14000 HDD","25 Gigabit","",3.1,"Storage optimized"
d3en.6xlarge,24.0,12.0,96.0,0,0.0,3.154,0.4806,2.0,167760.0,"12 x 14000 HDD","40 Gigabit","",3.1,"Storage optimized"
d3en.8xlarge,32.0,16.0,128.0,0,0.0,4.2058,1.036,2.0,223680.0,"16 x 14000 HDD","50 Gigabit","",3.1,"Storage optimized"
d3en.xlarge,4.0,2.0,16.0,0,0.0,0.526,0.0526,2.0,27960.0,"2 x 14000 HDD","Up to 25 Gigabit","",3.1,"Storage optimized"
dl1.24xlarge,96.0,48.0,768.0,8.0,256.0,13.109,1.3109,2.0,4000.0,"4 x 1000 GB NVMe SSD","4x 100 Gigabit","Gaudi HL-205",3.0,"Machine Learning ASIC Instances"
f1.16xlarge,64.0,32.0,976.0,0,0.0,13.2,1.3203,2.0,3760.0,"4 x 940 NVMe SSD","25 Gigabit","",2.3,"FPGA Instances"
f1.2xlarge,8.0,4.0,122.0,0,0.0,1.65,0.2523,2.0,470.0,"1 x 470 NVMe SSD","Up to 10 Gigabit","",2.3,"FPGA Instances"
f1.4xlarge,16.0,8.0,244.0,0,0.0,3.3,0.6117,2.0,940.0,"1 x 940 NVMe SSD","Up to 10 Gigabit","",2.3,"FPGA Instances"
f2.12xlarge,48.0,24.0,512.0,0,0.0,3.96,0.8666,2.0,1880.0,"2 x 950 NVMe SSD","25 Gigabit","",3.4,"FPGA Instances"
f2.48xlarge,192.0,96.0,2048.0,0,0.0,15.84,1.6048,2.0,7520.0,"8 x 950 NVMe SSD","100 Gigabit","",3.4,"FPGA Instances"
f2.6xlarge,24.0,12.0,256.0,0,0.0,1.98,0.0,2.0,940.0,"1 x 950 NVMe SSD","12.5 Gigabit","",3.4,"FPGA Instances"
g4ad.16xlarge,64.0,32.0,256.0,4.0,32.0,3.468,1.1764,2.0,2400.0,"2400 GB NVMe SSD","25 Gigabit","Radeon Pro V520",3.0,"GPU instance"
g4ad.2xlarge,8.0,4.0,32.0,1.0,8.0,0.5412,0.2212,2.0,300.0,"300 GB NVMe SSD","Up to 10 Gigabit","Radeon Pro V520",3.0,"GPU instance"
g4ad.4xlarge,16.0,8.0,64.0,1.0,8.0,0.867,0.4174,2.0,600.0,"600 GB NVMe SSD","Up to 10 Gigabit","Radeon Pro V520",3.0,"GPU instance"
g4ad.8xlarge,32.0,16.0,128.0,2.0,16.0,1.734,0.7064,2.0,1200.0,"1200 GB NVMe SSD","15 Gigabit","Radeon Pro V520",3.0,"GPU instance"
g4ad.xlarge,4.0,2.0,16.0,1.0,8.0,0.3785,0.1131,2.0,150.0,"150 GB NVMe SSD","Up to 10 Gigabit","Radeon Pro V520",3.0,"GPU instance"
g4dn.12xlarge,48.0,24.0,192.0,4.0,64.0,3.912,1.1768,2.0,900.0,"900 GB NVMe SSD","50 Gigabit",T4,2.5,"GPU instance"
g4dn.16xlarge,64.0,32.0,256.0,1.0,16.0,4.352,0.9957,2.0,900.0,"900 GB NVMe SSD","50 Gigabit",T4,2.5,"GPU instance"
g4dn.2xlarge,8.0,4.0,32.0,1.0,16.0,0.752,0.2972,2.0,225.0,"225 GB NVMe SSD","Up to 25 Gigabit",T4,2.5,"GPU instance"
g4dn.4xlarge,16.0,8.0,64.0,1.0,16.0,1.204,0.3472,2.0,225.0,"225 GB NVMe SSD","Up to 25 Gigabit",T4,2.5,"GPU instance"
g4dn.8xlarge,32.0,16.0,128.0,1.0,16.0,2.176,0.7627,2.0,900.0,"900 GB NVMe SSD","50 Gigabit",T4,2.5,"GPU instance"
g4dn.metal,96.0,48.0,384.0,8.0,128.0,7.824,3.3428,2.0,1800.0,"2 x 900 GB NVMe SSD","100 Gigabit",T4,2.5,"GPU instance"
g4dn.xlarge,4.0,2.0,16.0,1.0,16.0,0.526,0.1619,2.0,125.0,"125 GB NVMe SSD","Up to 25 Gigabit",T4,2.5,"GPU instance"
g5.12xlarge,48.0,24.0,192.0,4.0,89.0,5.672,1.9148,2.0,3800.0,"1 x 3800 GB NVMe SSD","40 Gigabit",A10G,3.3,"GPU instance"
g5.16xlarge,64.0,32.0,256.0,1.0,22.0,4.096,1.6325,2.0,1900.0,"1 x 1900 GB NVMe SSD","25 Gigabit",A10G,3.3,"GPU instance"
g5.24xlarge,96.0,48.0,384.0,4.0,89.0,8.144,3.3506,2.0,3800.0,"1 x 3800 GB NVMe SSD","50 Gigabit",A10G,3.3,"GPU instance"
g5.2xlarge,8.0,4.0,32.0,1.0,22.0,1.212,0.4227,2.0,450.0,"1 x 450 GB NVMe SSD","Up to 10 Gigabit",A10G,3.3,"GPU instance"
g5.48xlarge,192.0,96.0,768.0,8.0,178.0,16.288,1.6592,2.0,7600.0,"2 x 3800 GB NVMe SSD","100 Gigabit",A10G,3.3,"GPU instance"
g5.4xlarge,16.0,8.0,64.0,1.0,22.0,1.624,0.621,2.0,600.0,"1 x 600 GB NVMe SSD","Up to 25 Gigabit",A10G,3.3,"GPU instance"
g5.8xlarge,32.0,16.0,128.0,1.0,22.0,2.448,0.9488,2.0,900.0,"1 x 900 GB NVMe SSD","25 Gigabit",A10G,3.3,"GPU instance"
g5.xlarge,4.0,2.0,16.0,1.0,22.0,1.006,0.3607,2.0,250.0,"1 x 250 GB NVMe SSD","Up to 10 Gigabit",A10G,3.3,"GPU instance"
g5g.16xlarge,64.0,64.0,128.0,2.0,32.0,2.744,0.2744,1.0,0.0,"EBS only","25 Gigabit",T4g,2.5,"GPU instance"
g5g.2xlarge,8.0,8.0,16.0,1.0,16.0,0.556,0.2372,1.0,0.0,"EBS only","Up to 10 Gigabit",T4g,2.5,"GPU instance"
g5g.4xlarge,16.0,16.0,32.0,1.0,16.0,0.828,0.2431,1.0,0.0,"EBS only","Up to 10 Gigabit",T4g,2.5,"GPU instance"
g5g.8xlarge,32.0,32.0,64.0,1.0,16.0,1.372,0.58,1.0,0.0,"EBS only","12 Gigabit",T4g,2.5,"GPU instance"
g5g.metal,64.0,64.0,128.0,2.0,32.0,2.744,0.2744,1.0,0.0,"EBS only","25 Gigabit",T4g,2.5,"GPU instance"
g5g.xlarge,4.0,4.0,8.0,1.0,16.0,0.42,0.0982,1.0,0.0,"EBS only","Up to 10 Gigabit",T4g,2.5,"GPU instance"
g6.12xlarge,48.0,24.0,192.0,4.0,89.0,4.6016,1.9028,2.0,3760.0,"4 X 940 GB NVMe SSD","40 Gigabit",L4,3.4,"GPU instance"
g6.16xlarge,64.0,32.0,256.0,1.0,22.0,3.3968,1.07,2.0,1880.0,"2 x 940 GB NVMe SSD","25 Gigabit",L4,3.4,"GPU instance"
g6.24xlarge,96.0,48.0,384.0,4.0,89.0,6.6752,2.3091,2.0,3760.0,"4 X 940 GB NVMe SSD","50 Gigabit",L4,3.4,"GPU instance"
g6.2xlarge,8.0,4.0,32.0,1.0,22.0,0.9776,0.4013,2.0,450.0,"1 x 450 GB NVMe SSD","Up to 10 Gigabit",L4,3.4,"GPU instance"
g6.48xlarge,192.0,96.0,768.0,8.0,178.0,13.3504,2.5693,2.0,7520.0,"8 x 940 NVMe SSD","100 Gigabit",L4,3.4,"GPU instance"
g6.4xlarge,16.0,8.0,64.0,1.0,22.0,1.3232,0.5054,2.0,600.0,"1 x 600 GB NVMe SSD","Up to 25 Gigabit",L4,3.4,"GPU instance"
g6.8xlarge,32.0,16.0,128.0,1.0,22.0,2.0144,0.8586,2.0,900.0,"2 x 450 GB NVMe SSD","25 Gigabit",L4,3.4,"GPU instance"
g6.xlarge,4.0,2.0,16.0,1.0,22.0,0.8048,0.337,2.0,250.0,"1 x 250 GB NVMe SSD","Up to 10 Gigabit",L4,3.4,"GPU instance"
g6e.12xlarge,48.0,24.0,384.0,4.0,178.0,10.4926,4.2637,2.0,3800.0,"2 x 1900 GB NVMe SSD","100 Gigabit",L40S,3.4,"GPU instance"
g6e.16xlarge,64.0,32.0,512.0,1.0,44.0,7.5772,2.0778,2.0,1900.0,"1 x 1900 GB NVMe SSD","35 Gigabit",L40S,3.4,"GPU instance"
g6e.24xlarge,96.0,48.0,768.0,4.0,178.0,15.0656,4.1846,2.0,3800.0,"2 x 1900 GB NVMe SSD","200 Gigabit",L40S,3.4,"GPU instance"
g6e.2xlarge,8.0,4.0,64.0,1.0,44.0,2.2421,0.879,2.0,450.0,"1 x 450 GB NVMe SSD","Up to 20 Gigabit",L40S,3.4,"GPU instance"
g6e.48xlarge,192.0,96.0,1536.0,8.0,357.0,30.1312,5.0968,2.0,7600.0,"4 x 1900 GB NVMe SSD","400 Gigabit",L40S,3.4,"GPU instance"
g6e.4xlarge,16.0,8.0,128.0,1.0,44.0,3.0042,1.0701,2.0,600.0,"1 x 600 GB NVMe SSD","20 Gigabit",L40S,3.4,"GPU instance"
g6e.8xlarge,32.0,16.0,256.0,1.0,44.0,4.5286,1.6499,2.0,900.0,"1 x 900 GB NVMe SSD","25 Gigabit",L40S,3.4,"GPU instance"
g6e.xlarge,4.0,2.0,32.0,1.0,44.0,1.861,0.6864,2.0,250.0,"1 x 250 GB NVMe SSD","Up to 20 Gigabit",L40S,3.4,"GPU instance"
gr6.4xlarge,16.0,8.0,128.0,1.0,22.0,1.5392,0.5808,2.0,600.0,"1 x 600 GB NVMe SSD","Up to 25 Gigabit",L4,3.4,"GPU instance"
gr6.8xlarge,32.0,16.0,256.0,1.0,22.0,2.4464,0.9089,2.0,900.0,"2 x 450 GB NVMe SSD","25 Gigabit",L4,3.4,"GPU instance"
h1.16xlarge,64.0,32.0,256.0,0,0.0,3.744,0.8423,2.0,16000.0,"8 x 2000 HDD","25 Gigabit","",2.3,"Storage optimized"
h1.2xlarge,8.0,4.0,32.0,0,0.0,0.468,0.1867,2.0,2000.0,"1 x 2000 HDD","Up to 10 Gigabit","",2.3,"Storage optimized"
h1.4xlarge,16.0,8.0,64.0,0,0.0,0.936,0.1759,2.0,4000.0,"2 x 2000 HDD","Up to 10 Gigabit","",2.3,"Storage optimized"
h1.8xlarge,32.0,16.0,128.0,0,0.0,1.872,0.5437,2.0,8000.0,"4 x 2000 HDD","10 Gigabit","",2.3,"Storage optimized"
hpc7g.16xlarge,64.0,64.0,128.0,0,0.0,1.6832,0.0,1.0,0.0,"EBS only","200 Gigabit","",2.6,"Compute optimized"
hpc7g.4xlarge,16.0,16.0,128.0,0,0.0,1.6832,0.0,1.0,0.0,"EBS only","200 Gigabit","",2.6,"Compute optimized"
hpc7g.8xlarge,32.0,32.0,128.0,0,0.0,1.6832,0.0,1.0,0.0,"EBS only","200 Gigabit","",2.6,"Compute optimized"
i2.2xlarge,8.0,4.0,61.0,0,0.0,1.705,0.1705,2.0,1600.0,"2 x 800 SSD",High,"",2.5,"Storage optimized"
i2.4xlarge,16.0,8.0,122.0,0,0.0,3.41,0.5179,2.0,3200.0,"4 x 800 SSD",High,"",2.5,"Storage optimized"
i2.8xlarge,32.0,16.0,244.0,0,0.0,6.82,0.682,2.0,6400.0,"8 x 800 SSD","10 Gigabit","",2.5,"Storage optimized"
i2.xlarge,4.0,2.0,30.5,0,0.0,0.853,0.0853,2.0,800.0,"1 x 800 SSD",Moderate,"",2.5,"Storage optimized"
i3.16xlarge,64.0,32.0,488.0,0,0.0,4.992,1.5937,2.0,15200.0,"8 x 1900 NVMe SSD","25 Gigabit","",2.3,"Storage optimized"
i3.2xlarge,8.0,4.0,61.0,0,0.0,0.624,0.2728,2.0,1900.0,"1 x 1900 NVMe SSD","Up to 10 Gigabit","",2.3,"Storage optimized"
i3.4xlarge,16.0,8.0,122.0,0,0.0,1.248,0.4475,2.0,3800.0,"2 x 1900 NVMe SSD","Up to 10 Gigabit","",2.3,"Storage optimized"
i3.8xlarge,32.0,16.0,244.0,0,0.0,2.496,0.7389,2.0,7600.0,"4 x 1900 NVMe SSD","10 Gigabit","",2.3,"Storage optimized"
i3.large,2.0,1.0,15.25,0,0.0,0.156,0.016,2.0,475.0,"1 x 475 NVMe SSD","Up to 10 Gigabit","",2.3,"Storage optimized"
i3.metal,72.0,36.0,512.0,0,0.0,4.992,0.5019,2.0,15200.0,"8 x 1900 NVMe SSD","25 Gigabit","",2.3,"Storage optimized"
i3.xlarge,4.0,2.0,30.5,0,0.0,0.312,0.1156,2.0,950.0,"1 x 950 NVMe SSD","Up to 10 Gigabit","",2.3,"Storage optimized"
i3en.12xlarge,48.0,24.0,384.0,0,0.0,5.424,1.8221,2.0,30000.0,"4 x 7500 NVMe SSD","50 Gigabit","",3.1,"Storage optimized"
i3en.24xlarge,96.0,48.0,768.0,0,0.0,10.848,1.6916,2.0,60000.0,"8 x 7500 NVMe SSD","100 Gigabit","",3.1,"Storage optimized"
i3en.2xlarge,8.0,4.0,64.0,0,0.0,0.904,0.2976,2.0,5000.0,"2 x 2500 NVMe SSD","Up to 25 Gigabit","",3.1,"Storage optimized"
i3en.3xlarge,12.0,6.0,96.0,0,0.0,1.356,0.3897,2.0,7500.0,"1 x 7500 NVMe SSD","Up to 25 Gigabit","",3.1,"Storage optimized"
i3en.6xlarge,24.0,12.0,192.0,0,0.0,2.712,0.6841,2.0,15000.0,"2 x 7500 NVMe SSD","25 Gigabit","",3.1,"Storage optimized"
i3en.large,2.0,1.0,16.0,0,0.0,0.226,0.0306,2.0,1250.0,"1 x 1250 NVMe SSD","Up to 25 Gigabit","",3.1,"Storage optimized"
i3en.metal,96.0,48.0,768.0,0,0.0,10.848,1.0848,2.0,60000.0,"8 x 7500 NVMe SSD","100 Gigabit","",3.1,"Storage optimized"
