instanceType,vCpus,vCpuCores,memorySizeInGiB,gpuCount,gpuTotalGpuMemoryInGiB,onDemandLinuxHr,spotLinuxHr,vCpuThreadsPerCore,storageTotalSizeInGB,storage,networkPerformance,gpuName,processorClockSpeedInGhz,instanceFamilyName
m6a.xlarge,4.0,2.0,16.0,0,0.0,0.1728,0.0674,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.6,"General purpose"
m6g.12xlarge,48.0,48.0,192.0,0,0.0,1.848,0.3854,1.0,0.0,"EBS only","20 Gigabit","",2.5,"General purpose"
m6g.16xlarge,64.0,64.0,256.0,0,0.0,2.464,0.4465,1.0,0.0,"EBS only","25 Gigabit","",2.5,"General purpose"
m6g.2xlarge,8.0,8.0,32.0,0,0.0,0.308,0.1037,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m6g.4xlarge,16.0,16.0,64.0,0,0.0,0.616,0.1909,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m6g.8xlarge,32.0,32.0,128.0,0,0.0,1.232,0.3439,1.0,0.0,"EBS only","12 Gigabit","",2.5,"General purpose"
m6g.large,2.0,2.0,8.0,0,0.0,0.077,0.0208,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m6g.medium,1.0,1.0,4.0,0,0.0,0.0385,0.0106,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m6g.metal,64.0,64.0,256.0,0,0.0,2.464,0.3584,1.0,0.0,"EBS only","25 Gigabit","",2.5,"General purpose"
m6g.xlarge,4.0,4.0,16.0,0,0.0,0.154,0.0354,1.0,0.0,"EBS only","Up to 10 Gigabit","",2.5,"General purpose"
m6gd.12xlarge,48.0,48.0,192.0,0,0.0,2.1696,0.6259,1.0,2850.0,"2 x 1425 NVMe SSD","20 Gigabit","",2.5,"General purpose"
m6gd.16xlarge,64.0,64.0,256.0,0,0.0,2.8928,0.4559,1.0,3800.0,"2 x 1900 NVMe SSD","25 Gigabit","",2.5,"General purpose"
m6gd.2xlarge,8.0,8.0,32.0,0,0.0,0.3616,0.142,1.0,474.0,"1 x 475 NVMe SSD","Up to 10 Gigabit","",2.5,"General purpose"
m6gd.4xlarge,16.0,16.0,64.0,0,0.0,0.7232,0.2502,1.0,950.0,"1 x 950 NVMe SSD","Up to 10 Gigabit","",2.5,"General purpose"
m6gd.8xlarge,32.0,32.0,128.0,0,0.0,1.4464,0.4512,1.0,1900.0,"1 x 1900 NVMe SSD","12 Gigabit","",2.5,"General purpose"
m6gd.large,2.0,2.0,8.0,0,0.0,0.0904,0.027,1.0,118.0,"1 x 118 NVMe SSD","Up to 10 Gigabit","",2.5,"General purpose"
m6gd.medium,1.0,1.0,4.0,0,0.0,0.0452,0.0096,1.0,59.0,"1 x 59 NVMe SSD","Up to 10 Gigabit","",2.5,"General purpose"
m6gd.metal,64.0,64.0,256.0,0,0.0,2.8928,0.2893,1.0,3800.0,"2 x 1900 NVMe SSD","25 Gigabit","",2.5,"General purpose"
m6gd.xlarge,4.0,4.0,16.0,0,0.0,0.1808,0.0881,1.0,237.0,"1 x 237 NVMe SSD","Up to 10 Gigabit","",2.5,"General purpose"
m6i.12xlarge,48.0,24.0,192.0,0,0.0,2.304,0.5892,2.0,0.0,"EBS only","18.75 Gigabit","",3.5,"General purpose"
m6i.16xlarge,64.0,32.0,256.0,0,0.0,3.072,0.7836,2.0,0.0,"EBS only","25 Gigabit","",3.5,"General purpose"
m6i.24xlarge,96.0,48.0,384.0,0,0.0,4.608,1.2172,2.0,0.0,"EBS only","37.5 Gigabit","",3.5,"General purpose"
m6i.2xlarge,8.0,4.0,32.0,0,0.0,0.384,0.1496,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.5,"General purpose"
m6i.32xlarge,128.0,64.0,512.0,0,0.0,6.144,1.2778,2.0,0.0,"EBS only","50 Gigabit","",3.5,"General purpose"
m6i.4xlarge,16.0,8.0,64.0,0,0.0,0.768,0.2594,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.5,"General purpose"
m6i.8xlarge,32.0,16.0,128.0,0,0.0,1.536,0.4255,2.0,0.0,"EBS only","12.5 Gigabit","",3.5,"General purpose"
m6i.large,2.0,1.0,8.0,0,0.0,0.096,0.0272,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.5,"General purpose"
m6i.metal,128.0,64.0,512.0,0,0.0,6.144,0.797,2.0,0.0,"EBS only","50 Gigabit","",3.5,"General purpose"
m6i.xlarge,4.0,2.0,16.0,0,0.0,0.192,0.066,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.5,"General purpose"
m6id.12xlarge,48.0,24.0,192.0,0,0.0,2.8476,0.3419,2.0,2850.0,"2 x 1425 NVMe SSD","18.75 Gigabit","",3.5,"General purpose"
m6id.16xlarge,64.0,32.0,256.0,0,0.0,3.7968,0.7002,2.0,3800.0,"2 x 1900 NVMe SSD","25 Gigabit","",3.5,"General purpose"
m6id.24xlarge,96.0,48.0,384.0,0,0.0,5.6952,1.1587,2.0,5700.0,"4 x 1425 NVMe SSD","37.5 Gigabit","",3.5,"General purpose"
m6id.2xlarge,8.0,4.0,32.0,0,0.0,0.4746,0.1868,2.0,474.0,"1 x 474 NVMe SSD","Up to 12.5 Gigabit","",3.5,"General purpose"
m6id.32xlarge,128.0,64.0,512.0,0,0.0,7.5936,1.7371,2.0,7600.0,"4 x 1900 NVMe SSD","50 Gigabit","",3.5,"General purpose"
m6id.4xlarge,16.0,8.0,64.0,0,0.0,0.9492,0.2257,2.0,950.0,"1 x 950 NVMe SSD","Up to 12.5 Gigabit","",3.5,"General purpose"
m6id.8xlarge,32.0,16.0,128.0,0,0.0,1.8984,0.4632,2.0,1900.0,"1 x 1900 NVMe SSD","12.5 Gigabit","",3.5,"General purpose"
m6id.large,2.0,1.0,8.0,0,0.0,0.1187,0.0343,2.0,118.0,"1 x 118 NVMe SSD","Up to 12.5 Gigabit","",3.5,"General purpose"
m6id.metal,128.0,64.0,512.0,0,0.0,7.5936,1.5164,2.0,7600.0,"4 x 1900 NVMe SSD","50 Gigabit","",3.5,"General purpose"
m6id.xlarge,4.0,2.0,16.0,0,0.0,0.2373,0.0823,2.0,237.0,"1 x 237 NVMe SSD","Up to 12.5 Gigabit","",3.5,"General purpose"
m6idn.12xlarge,48.0,24.0,192.0,0,0.0,3.8189,1.306,2.0,2850.0,"2 x 1425 NVMe SSD","75 Gigabit","",3.5,"General purpose"
m6idn.16xlarge,64.0,32.0,256.0,0,0.0,5.0918,1.8056,2.0,3800.0,"2 x 1900 NVMe SSD","100 Gigabit","",3.5,"General purpose"
m6idn.24xlarge,96.0,48.0,384.0,0,0.0,7.6378,2.5368,2.0,5700.0,"4 x 1425 NVMe SSD","150 Gigabit","",3.5,"General purpose"
m6idn.2xlarge,8.0,4.0,32.0,0,0.0,0.6365,0.3091,2.0,474.0,"1 x 474 NVMe SSD","Up to 40 Gigabit","",3.5,"General purpose"
m6idn.32xlarge,128.0,64.0,512.0,0,0.0,10.1837,3.3296,2.0,7600.0,"4 x 1900 NVMe SSD","200 Gigabit","",3.5,"General purpose"
m6idn.4xlarge,16.0,8.0,64.0,0,0.0,1.273,0.6895,2.0,950.0,"1 x 950 NVMe SSD","Up to 50 Gigabit","",3.5,"General purpose"
m6idn.8xlarge,32.0,16.0,128.0,0,0.0,2.5459,0.9597,2.0,1900.0,"1 x 1900 NVMe SSD","50 Gigabit","",3.5,"General purpose"
m6idn.large,2.0,1.0,8.0,0,0.0,0.1591,0.0445,2.0,118.0,"1 x 118 NVMe SSD","Up to 25 Gigabit","",3.5,"General purpose"
m6idn.metal,128.0,64.0,512.0,0,0.0,10.1837,1.0184,2.0,7600.0,"4 x 1900 NVMe SSD","200 Gigabit","",3.5,"General purpose"
m6idn.xlarge,4.0,2.0,16.0,0,0.0,0.3182,0.1301,2.0,237.0,"1 x 237 NVMe SSD","Up to 30 Gigabit","",3.5,"General purpose"
m6in.12xlarge,48.0,24.0,192.0,0,0.0,3.3415,1.6224,2.0,0.0,"EBS only","75 Gigabit","",3.5,"General purpose"
m6in.16xlarge,64.0,32.0,256.0,0,0.0,4.4554,1.9502,2.0,0.0,"EBS only","100 Gigabit","",3.5,"General purpose"
m6in.24xlarge,96.0,48.0,384.0,0,0.0,6.683,3.1815,2.0,0.0,"EBS only","150 Gigabit","",3.5,"General purpose"
m6in.2xlarge,8.0,4.0,32.0,0,0.0,0.5569,0.208,2.0,0.0,"EBS only","Up to 40 Gigabit","",3.5,"General purpose"
m6in.32xlarge,128.0,64.0,512.0,0,0.0,8.9107,2.8027,2.0,0.0,"EBS only","200 Gigabit","",3.5,"General purpose"
m6in.4xlarge,16.0,8.0,64.0,0,0.0,1.1138,0.5051,2.0,0.0,"EBS only","Up to 50 Gigabit","",3.5,"General purpose"
m6in.8xlarge,32.0,16.0,128.0,0,0.0,2.2277,1.1616,2.0,0.0,"EBS only","50 Gigabit","",3.5,"General purpose"
m6in.large,2.0,1.0,8.0,0,0.0,0.1392,0.0438,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.5,"General purpose"
m6in.metal,128.0,64.0,512.0,0,0.0,8.9107,2.4466,2.0,0.0,"EBS only","200 Gigabit","",3.5,"General purpose"
m6in.xlarge,4.0,2.0,16.0,0,0.0,0.2785,0.1034,2.0,0.0,"EBS only","Up to 30 Gigabit","",3.5,"General purpose"
m7a.12xlarge,48.0,48.0,192.0,0,0.0,2.7821,0.6184,1.0,0.0,"EBS only","18.75 Gigabit","",3.7,"General purpose"
m7a.16xlarge,64.0,64.0,256.0,0,0.0,3.7094,0.6441,1.0,0.0,"EBS only","25 Gigabit","",3.7,"General purpose"
m7a.24xlarge,96.0,96.0,384.0,0,0.0,5.5642,1.4125,1.0,0.0,"EBS only","37.5 Gigabit","",3.7,"General purpose"
m7a.2xlarge,8.0,8.0,32.0,0,0.0,0.4637,0.1558,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.7,"General purpose"
m7a.32xlarge,128.0,128.0,512.0,0,0.0,7.4189,1.6883,1.0,0.0,"EBS only","50 Gigabit","",3.7,"General purpose"
m7a.48xlarge,192.0,192.0,768.0,0,0.0,11.1283,2.0061,1.0,0.0,"EBS only","50 Gigabit","",3.7,"General purpose"
m7a.4xlarge,16.0,16.0,64.0,0,0.0,0.9274,0.3617,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.7,"General purpose"
m7a.8xlarge,32.0,32.0,128.0,0,0.0,1.8547,0.529,1.0,0.0,"EBS only","12.5 Gigabit","",3.7,"General purpose"
m7a.large,2.0,2.0,8.0,0,0.0,0.1159,0.0337,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.7,"General purpose"
m7a.medium,1.0,1.0,4.0,0,0.0,0.058,0.0162,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.7,"General purpose"
m7a.metal-48xl,192.0,192.0,768.0,0,0.0,11.1283,1.5747,1.0,0.0,"EBS only","50 Gigabit","",3.7,"General purpose"
m7a.xlarge,4.0,4.0,16.0,0,0.0,0.2318,0.068,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.7,"General purpose"
m7g.12xlarge,48.0,48.0,192.0,0,0.0,1.9584,0.4753,1.0,0.0,"EBS only","22.5 Gigabit","",2.6,"General purpose"
m7g.16xlarge,64.0,64.0,256.0,0,0.0,2.6112,0.7026,1.0,0.0,"EBS only","30 Gigabit","",2.6,"General purpose"
m7g.2xlarge,8.0,8.0,32.0,0,0.0,0.3264,0.1047,1.0,0.0,"EBS only","Up to 15 Gigabit","",2.6,"General purpose"
m7g.4xlarge,16.0,16.0,64.0,0,0.0,0.6528,0.2722,1.0,0.0,"EBS only","Up to 15 Gigabit","",2.6,"General purpose"
m7g.8xlarge,32.0,32.0,128.0,0,0.0,1.3056,0.3772,1.0,0.0,"EBS only","15 Gigabit","",2.6,"General purpose"
m7g.large,2.0,2.0,8.0,0,0.0,0.0816,0.0268,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.6,"General purpose"
m7g.medium,1.0,1.0,4.0,0,0.0,0.0408,0.0107,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.6,"General purpose"
m7g.metal,64.0,64.0,256.0,0,0.0,2.6112,0.3021,1.0,0.0,"EBS only","30 Gigabit","",2.6,"General purpose"
m7g.xlarge,4.0,4.0,16.0,0,0.0,0.1632,0.0477,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.6,"General purpose"
m7gd.12xlarge,48.0,48.0,192.0,0,0.0,2.5628,0.4775,1.0,2850.0,"2 x 1425 NVMe SSD","22.5 Gigabit","",2.6,"General purpose"
m7gd.16xlarge,64.0,64.0,256.0,0,0.0,3.4171,0.6401,1.0,3800.0,"2 x 1900 NVMe SSD","30 Gigabit","",2.6,"General purpose"
m7gd.2xlarge,8.0,8.0,32.0,0,0.0,0.4271,0.1353,1.0,474.0,"1 x 475 NVMe SSD","Up to 15 Gigabit","",2.6,"General purpose"
m7gd.4xlarge,16.0,16.0,64.0,0,0.0,0.8543,0.2485,1.0,950.0,"1 x 950 NVMe SSD","Up to 15 Gigabit","",2.6,"General purpose"
m7gd.8xlarge,32.0,32.0,128.0,0,0.0,1.7086,0.5343,1.0,1900.0,"1 x 1900 NVMe SSD","15 Gigabit","",2.6,"General purpose"
m7gd.large,2.0,2.0,8.0,0,0.0,0.1068,0.0329,1.0,118.0,"1 x 118 NVMe SSD","Up to 12.5 Gigabit","",2.6,"General purpose"
m7gd.medium,1.0,1.0,4.0,0,0.0,0.0534,0.006,1.0,59.0,"1 x 59 NVMe SSD","Up to 12.5 Gigabit","",2.6,"General purpose"
m7gd.metal,64.0,64.0,256.0,0,0.0,3.4171,0.3417,1.0,3800.0,"2 x 1900 NVMe SSD","30 Gigabit","",2.6,"General purpose"
m7gd.xlarge,4.0,4.0,16.0,0,0.0,0.2136,0.0906,1.0,237.0,"1 x 237 NVMe SSD","Up to 12.5 Gigabit","",2.6,"General purpose"
m7i-flex.12xlarge,48.0,24.0,192.0,0,0.0,2.2982,0.8901,2.0,0.0,"EBS only","Up to 18.75 Gigabit","",3.2,"General purpose"
m7i-flex.16xlarge,64.0,32.0,256.0,0,0.0,3.0643,0.9432,2.0,0.0,"EBS only","Up to 25 Gigabit","",3.2,"General purpose"
m7i-flex.2xlarge,8.0,4.0,32.0,0,0.0,0.383,0.1531,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m7i-flex.4xlarge,16.0,8.0,64.0,0,0.0,0.7661,0.2766,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m7i-flex.8xlarge,32.0,16.0,128.0,0,0.0,1.5322,0.4688,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m7i-flex.large,2.0,1.0,8.0,0,0.0,0.0958,0.0224,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m7i-flex.xlarge,4.0,2.0,16.0,0,0.0,0.1915,0.0531,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m7i.12xlarge,48.0,24.0,192.0,0,0.0,2.4192,0.6197,2.0,0.0,"EBS only","18.75 Gigabit","",3.2,"General purpose"
m7i.16xlarge,64.0,32.0,256.0,0,0.0,3.2256,0.8364,2.0,0.0,"EBS only","25 Gigabit","",3.2,"General purpose"
m7i.24xlarge,96.0,48.0,384.0,0,0.0,4.8384,0.5564,2.0,0.0,"EBS only","37.5 Gigabit","",3.2,"General purpose"
m7i.2xlarge,8.0,4.0,32.0,0,0.0,0.4032,0.1125,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m7i.48xlarge,192.0,96.0,768.0,0,0.0,9.6768,2.3957,2.0,0.0,"EBS only","50 Gigabit","",3.2,"General purpose"
m7i.4xlarge,16.0,8.0,64.0,0,0.0,0.8064,0.2159,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m7i.8xlarge,32.0,16.0,128.0,0,0.0,1.6128,0.6078,2.0,0.0,"EBS only","12.5 Gigabit","",3.2,"General purpose"
m7i.large,2.0,1.0,8.0,0,0.0,0.1008,0.0296,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m7i.metal-24xl,96.0,48.0,384.0,0,0.0,4.8384,0.5863,2.0,0.0,"EBS only","37.5 Gigabit","",3.2,"General purpose"
m7i.metal-48xl,192.0,96.0,768.0,0,0.0,9.6768,0.9677,2.0,0.0,"EBS only","50 Gigabit","",3.2,"General purpose"
m7i.xlarge,4.0,2.0,16.0,0,0.0,0.2016,0.0715,2.0,0.0,"EBS only","Up to 12.5 Gigabit","",3.2,"General purpose"
m8g.12xlarge,48.0,48.0,192.0,0,0.0,2.1542,0.5784,1.0,0.0,"EBS only","22.5 Gigabit","",2.8,"General purpose"
m8g.16xlarge,64.0,64.0,256.0,0,0.0,2.8723,1.0448,1.0,0.0,"EBS only","30 Gigabit","",2.8,"General purpose"
m8g.24xlarge,96.0,96.0,384.0,0,0.0,4.3085,1.1638,1.0,0.0,"EBS only","40 Gigabit","",2.8,"General purpose"
m8g.2xlarge,8.0,8.0,32.0,0,0.0,0.359,0.1101,1.0,0.0,"EBS only","Up to 15 Gigabit","",2.8,"General purpose"
m8g.48xlarge,192.0,192.0,768.0,0,0.0,8.617,1.1774,1.0,0.0,"EBS only","50 Gigabit","",2.7,"General purpose"
m8g.4xlarge,16.0,16.0,64.0,0,0.0,0.7181,0.2242,1.0,0.0,"EBS only","Up to 15 Gigabit","",2.8,"General purpose"
m8g.8xlarge,32.0,32.0,128.0,0,0.0,1.4362,0.4142,1.0,0.0,"EBS only","15 Gigabit","",2.8,"General purpose"
m8g.large,2.0,2.0,8.0,0,0.0,0.0898,0.0281,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.8,"General purpose"
m8g.medium,1.0,1.0,4.0,0,0.0,0.0449,0.0117,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.8,"General purpose"
m8g.metal-24xl,96.0,96.0,384.0,0,0.0,4.3085,0.5718,1.0,0.0,"EBS only","40 Gigabit","",2.8,"General purpose"
m8g.metal-48xl,192.0,192.0,768.0,0,0.0,8.617,1.184,1.0,0.0,"EBS only","50 Gigabit","",2.7,"General purpose"
m8g.xlarge,4.0,4.0,16.0,0,0.0,0.1795,0.0233,1.0,0.0,"EBS only","Up to 12.5 Gigabit","",2.8,"General purpose"
mac1.metal,12.0,6.0,32.0,0,0.0,"",0.0,2.0,0.0,"EBS only","25 Gigabit","",3.2,"General purpose"
mac2-m1ultra.metal,20.0,20.0,128.0,0,0.0,"",0.0,1.0,0.0,"EBS only","10 Gigabit","",3.2,"General purpose"
mac2-m2.metal,8.0,8.0,24.0,0,0.0,"",0.0,1.0,0.0,"EBS only","10 Gigabit","",3.5,"General purpose"
mac2-m2pro.metal,12.0,12.0,32.0,0,0.0,"",0.0,1.0,0.0,"EBS only","10 Gigabit","",3.5,"General purpose"
mac2.metal,8.0,4.0,16.0,0,0.0,"",0.0,2.0,0.0,"EBS only","10 Gigabit","",3.2,"General purpose"
p3.16xlarge,64.0,32.0,488.0,8.0,128.0,24.48,2.448,2.0,0.0,"EBS only","25 Gigabit",V100,2.7,"GPU instance"
p3.2xlarge,8.0,4.0,61.0,1.0,16.0,3.06,0.306,2.0,0.0,"EBS only","Up to 10 Gigabit",V100,2.7,"GPU instance"
p3.8xlarge,32.0,16.0,244.0,4.0,64.0,12.24,1.224,2.0,0.0,"EBS only","10 Gigabit",V100,2.7,"GPU instance"
p3dn.24xlarge,96.0,48.0,768.0,8.0,256.0,31.212,3.1212,2.0,1800.0,"2 x 900 NVMe SSD","100 Gigabit",V100,2.5,"GPU instance"
p4d.24xlarge,96.0,48.0,1152.0,8.0,320.0,32.7726,9.2615,2.0,8000.0,"8 x 1000 SSD","4x 100 Gigabit",A100,3.0,"GPU instance"
p5.48xlarge,192.0,96.0,2048.0,8.0,640.0,98.32,20.2352,2.0,30400.0,"8 x 3840 GB SSD","3200 Gigabit",H100,3.6,"GPU instance"
p5en.48xlarge,192.0,96.0,2048.0,8.0,1128.0,0.0,8.48,2.0,30400.0,"8 x 3840 NVMe SSD","3200 Gigabit",H200,2.4,"GPU instance"
r3.2xlarge,8.0,4.0,61.0,0,0.0,0.665,0.189,2.0,160.0,"1 x 160 SSD",High,"",2.5,"Memory optimized"
r3.4xlarge,16.0,8.0,122.0,0,0.0,1.33,0.3491,2.0,320.0,"1 x 320 SSD",High,"",2.5,"Memory optimized"
r3.8xlarge,32.0,16.0,244.0,0,0.0,2.66,0.798,2.0,640.0,"2 x 320 SSD","10 Gigabit","",2.5,"Memory optimized"
r3.large,2.0,1.0,15.0,0,0.0,0.166,0.0369,2.0,32.0,"1 x 32 SSD",Moderate,"",2.5,"Memory optimized"
r3.xlarge,4.0,2.0,30.5,0,0.0,0.333,0.0765,2.0,80.0,"1 x 80 SSD",Moderate,"",2.5,"Memory optimized"
r4.16xlarge,64.0,32.0,488.0,0,0.0,4.256,1.444,2.0,0.0,"EBS only","25 Gigabit","",2.3,"Memory optimized"
r4.2xlarge,8.0,4.0,61.0,0,0.0,0.532,0.1944,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"Memory optimized"
r4.4xlarge,16.0,8.0,122.0,0,0.0,1.064,0.3349,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"Memory optimized"
r4.8xlarge,32.0,16.0,244.0,0,0.0,2.128,0.6272,2.0,0.0,"EBS only","10 Gigabit","",2.3,"Memory optimized"
r4.large,2.0,1.0,15.25,0,0.0,0.133,0.0286,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"Memory optimized"
r4.xlarge,4.0,2.0,30.5,0,0.0,0.266,0.0837,2.0,0.0,"EBS only","Up to 10 Gigabit","",2.3,"Memory optimized"
r5.12xlarge,48.0,24.0,384.0,0,0.0,3.024,0.7354,2.0,0.0,"EBS only","12 Gigabit","",3.1,"Memory optimized"
r5.16xlarge,64.0,32.0,512.0,0,0.0,4.032,0.9569,2.0,0.0,"EBS only","20 Gigabit","",3.1,"Memory optimized"
r5.24xlarge,96.0,48.0,768.0,0,0.0,6.048,1.468,2.0,0.0,"EBS only","25 Gigabit","",3.1,"Memory optimized"
r5.2xlarge,8.0,4.0,64.0,0,0.0,0.504,0.1773,2.0,0.0,"EBS only","Up to 10 Gigabit","",3.1,"Memory optimized"
